code,display_en,display_fi
AB4DT,Cathetrization of cerebrospinal fluid with  MRI guidance,"Spinalvätska, MR-styrt dränage"
AB4FT,Exchange of cerebrospinal cahteter,Spinalkateter utbyte
AB4KJ,,
AB4LB,Check-up of catheter place in spinal and epidural space,Kontroll av spinal- eller epiduralkateters position
AB4PJ,,
AB4XB,Other spinal channel X-ray examination with contrast,Övrig kontrastunderökning av spinalkanalen
AB5AT,Blockage of nerv root with ultrasound guidance,"Nervrötter, ultraljudsstyrd blockad"
AB5BT,Blockage of nerv root with X-ray guidance,"Nervrötter, genomlysningsstyrd blockad"
AB5CT,Blockage of nerv root with CT guidance,"Nervrötter, DT-styrd blockad"
AB5DT,Blockage of nerv root with MRI guidance,"Nervrötter, MR-styrd blockad"
AB5KJ,,
AB5PJ,,
AB6AT,,"Nervrötter, utvidgad UL-styrd blockad"
AB6BT,,"Nervrötter, utvidgad genomlysningstyrd blockad"
AB6CF,,"Armflätan, omfattande magnetundersökning (under 1,5 T)"
AB6CG,,"Brakialplexus, omfattande MR"
AB6CM,,"Armflätan, omfattande magnetundersökning (över 1,5 T)"
AB6CT,,"Nervrötter, utvidgad DT-styrd blockad"
AB6DT,,"Nervrötter, utvidgad MR-styrd blockad"
AC,Peripheral nerves,Perifera nerver
AC_,Other peripheral nerve procedures,Andra åtgärder på perifera nerver
ACA,Diagnostic operations on peripheral nerves,Diagnostiska ingrepp på perifera nerver
ACA11,Exploration of peripheral nerve median,Exploration av n. medianus
ACA12,Exploration of peripheral nerve radial,Exploration av n. radialis
ACA13,Exploration of peripheral nerve ulnar,Exploration av n. ulnaris
ACA14,Exploration of peripheral nerve personeal,Exploration av n. peroneus
ACA15,Exploration of peripheral nerve tibial,Exploration av n. tibialis
ACA16,Exploration of peripheral nerve sciatic,Exploration av n ischiadicus
ACA17,Exploration of peripheral nerve lumbar plexus,Exploration av plexus lumbalis
ACA18,Exploration of peripheral nerve brachial plexus,Exploration av plexus brachialis
ACA19,Exploration of peripheral nerve other or unspecified,"Exploration av perifer nerv, annan eller ospecificerad"
ACA21,Biopsy of peripheral nerve median,Biopsi av n. medianus
ACA22,Biopsy of peripheral nerve radial,Biopsi av n. radialis
ACA23,Biopsy of peripheral nerve ulnar,Biopsi av n. ulnaris
ACA24,Biopsy of peripheral nerve peroneal,Biopsi av n. peroneus
ACA25,Biopsy of peripheral nerve tibial,Biopsi av n. tibialis
ACA26,Biopsy of peripheral nerve sciatic,Biopsi av n ischiadicus
ACA27,Biopsy of peripheral nerve lumbar plexus,Biopsi av plexus lumbalis
ACA28,Biopsy of peripheral nerve brachial plexus,Biopsi av plexus brachialis
ACA29,Biopsy of peripheral nerve other or unspecified,Biopsi av annan eller ospecificerad nerv
ACA91,,Annan diagnostisk operation på n. medianus
ACA92,,Annan diagnostisk operation på n. radialis
ACA93,,Annan diagnostisk operation på n. ulnaris
ACA94,,Annan diagnostisk operation på n. peroneus
ACA95,,Annan diagnostisk operation på n. tibialis
ACA96,,Annan diagnostisk operation på n. ischiadicus
ACA97,,Annan diagnostisk operation på plexus lumbalis
ACA98,,Annan diagnostisk operation på plexus brachialis
ACA99,Other diagnostic operation on peripheral nerve other or unspecified,Annat diagnostiskt ingrepp på perifer nerv
ACB,Operations for lesion of peripheral nerves median,Operationer p.g.a.patologisk förändring eller skada på perifera nerver
ACB11,Excision of lesion of peripheral nerve,Exstirpation av patologisk förändring från n. medianus
ACB12,,Exstirpation av patologisk förändring från n. radialis
ACB13,,Exstirpation av patologisk förändring från n. ulnaris
ACB14,,Exstirpation av patologisk förändring från n. peroneus
ACB15,,Exstirpation av patologisk förändring från n. tibialis
ACB16,,Exstirpation av patologisk förändring från n. ischiadicus
ACB17,,Exstirpation av patologisk förändring från plexus lumbalis
ACB18,,Exstirpation av patologisk förändring från plexus brachialis
ACB19,Excision of lesion of peripheral nerve other or unspecified,Exstirpation av patologisk förändring från annan eller ospecificerad nerv
ACB21,,Sutur av n. medianus
ACB22,,Sutur av n. radialis
ACB23,,Sutur av n. ulnaris
ACB24,,Sutur av n. peroneus
ACB25,,Sutur av n. tibialis
ACB26,,Sutur av perifer n ischiadicus
ACB27,,Sutur av plexus lumbalis
ACB28,,Sutur av plexus brachialis
ACB29,Suture of peripheral nerve  other or unspecified,Sutur av annan eller ospecificerad nerv
ACB91,,Annan operation p.g.a. patologisk förändring eller skada på n. medianus
ACB92,,Annan operation p.g.a. patologisk förändring eller skada på n. radialis
ACB93,,Annan operation p.g.a. patologisk förändring eller skada på n. ulnaris
ACB94,,Annan operation p.g.a. patologisk förändring eller skada på n. peroneus
ACB95,,Annan operation p.g.a. patologisk förändring eller skada på n. tibialis
ACB96,,Annan operation p.g.a. patologisk förändring eller skada på n ischiadicus
ACB97,,Annan operation p.g.a. patologisk förändring eller skada på plexus lumbalis
ACB98,,Annan operation p.g.a. patologisk förändring eller skada på plexus brachialis
ACB99,Other operation for lesion of peripheral nerve: other or unspecified,Annan operation p.g.a. patologisk förändring eller skada på perifer nerv
ACC,Operations for impaired function of peripheral nerves,Operationer på perifera nerver p.g.a. funktionella rubbningar
ACC11,"Transcision of peripheral nerve,  median",Avskärning av n. medianus
ACC12,,Transcision av n. radialis
ACC13,,Avskärning av n. ulnaris
ACC14,,Avskärning av n. peroneus
ACC15,,Avskärning av n. tibialis
ACC16,,Avskärning av n ischiadicus
ACC17,,Avskärning av plexus lumbalis
ACC18,,Avskärning av plexus brachialis
ACC19,Transcision of peripheral nerve: other or unspecified,Avskärning av perifer annan eller ospecificerad nerv
ACC21,,Rekonstruktion av n. medianus
ACC22,,Rekonstruktion av n. radialis
ACC23,,Rekonstruktion av n. ulnaris
ACC24,,Rekonstruktion av n. peroneus
ACC25,,Rekonstruktion av n. tibialis
ACC26,,Rekonstruktion av n. ischiadicus
ACC27,,Rekonstruktion av plexus lumbalis
ACC28,,Rekonstruktion av plexus brachialis
ACC29,Reconstruction of peripheral nerve: other or unspecified,Rekonstruktion av annan eller ospecificerad nerv
ACC30,Reconstruction of nerve plexus,Rekonstruktion av nervplexus
ACC41,,Transposition av n. medianus
ACC42,,Transposition av n. radialis
ACC43,,Transposition av n. ulnaris
ACC44,,Transposition av n. peroneus
ACC45,,Transposition av n. tibialis
ACC46,,Transposition av n ischiadicus
ACC47,,Transposition av plexus lumbalis
ACC48,,Transposition av plexus brachialis
ACC49,Transposition of peripheral nerve: other or unspecified,Transposition av annan eller ospecificerad nerv
ACC51,,Dekompression av n. medianus
ACC52,,Dekompression av n. radialis
ACC53,,Dekompression av n. ulnaris
ACC54,,Dekompression av n. peroneus
ACC55,,Dekompression av n. tibialis
ACC56,,Dekompression av n. ischiadicus
ACC57,,Dekompression av plexus lumbalis
ACC58,,Dekompression av plexus brachialis
ACC59,Decompression and freeing of adhesions of peripheral nerve: other or unspecified,Dekompression av annan eller ospecificerad nerv
ACC69,Decompression and freeing of adhesions of peripheral nerve: transcutaneous,Neurolys av perifer nerv endoskopiskt eller transkutant
ACC70,Decompression and freeing of adhesions of peripheral neural plexus,Neurolys av nervplexus
ACC91,,Annan operation på n. medianus p.g.a. funktionella rubbningar
ACC92,,Annan operation på n. radialis p.g.a. funktionella rubbningar
ACC93,,Annan operation på n. ulnaris p.g.a. funktionella rubbningar
ACC94,,Annan operation på n. peroneus p.g.a. funktionella rubbningar
ACC95,,Annan operation på n. tibialis p.g.a. funktionella rubbningar
ACC96,,Annan operation på n ischiadicus p.g.a. funktionella rubbningar
ACC97,,Annan operation på plexus lumbalis p.g.a. funktionella rubbningar
ACC98,,Annan operation på plexus brachialis p.g.a. funktionella rubbningar
ACC99,Other operation for impaired function of peripheral nerve: other or unspecified,Annan operation på annan eller ospecificerad nerv p.g.a. funktionella rubbningar
ACW,Other operations on peripheral nerves,Andra operationer på perifera nerver
ACW99,Other operation on peripheral nerve,Annan operation på perifer nerv
AC0,,Strålbehandling av perifera nerver
AC001,Preoperative radiotherapy of peripheral nerves,Preoperativ strålbehandling av primärtumör i perifera nerver
AC002,Radical radiotherapy of peripheral nerves,Radikal strålbehandling av primärtumör i perifera nerver
AC003,Adjuvant radiotherapy of peripheral nerves,Adjuvant strålbehandling av primärtumör i perifera nerver
AC004,Palliative radiotherapy of peripheral nerves,Palliaativ strålbehandling av primärtumör i perifera nerver
AC029,Radiotherapy of local residive tumor of peripheral nerves,Strålbehandling av lokalt recidivtumör i perifera nerver
AC049,Radiotherapy of metasthasis in peripheral nerves,Strålbehandling av metastas i perifera nerver
AC090,Profylactic radiotherapy of peripheral nerves,Profylaktisk strålbehandling av perifera nerver
AC099,Other radiotherapy of peripheral nerves,Annan strålbehandling av perifera nerver
AC1AE,,"Nerv, UL"
AC1AT,Blockage of nerv with ultrasound guidance,"Nerv, utvidgad UL-styrd blockad"
AC1BT,Blockage of nerv with X-ray guidance,"Nerv, utvidgad genomlysningstyrd blockad"
AC1CT,Blockage of nerv with CT guidance,"Nerv, utvidgad DT-styrd blockad"
AC1DT,Blockage of nerv with MRI guidance,"Nerv, utvidgad MR-styrd blockad"
AC1D3,,Histologisk undersökning av nerv
AC1KJ,,
AC1NK,,"PNS, traktografi*"
AC1PJ,,
AD,Autonomic nervous system,Autonomt nervsystem
AD_,Diagnostic procedures of autonomous nervous system,Undersökningar i autonom nervsystem
ADA,Operations on sympathetic nerves,Operationer på sympatiska nerver
ADA10,Cervical sympathectomy,Cervikal sympatektomi
ADA20,Thoracal sympathectomy,Torakal sympatektomi
ADA30,Lumbal sympathectomy,Lumbal sympatektomi
ADA99,Other operation on sympathetic nerve,Annan operation på sympatiska nervsystemet
ADB,Operations on vagus nerve,Operationer på nervi vagi
ADB00,Implantation of vagus nerve stimulating device,Implantation av vagus nerve stimulerande apparat
ADW,Other operations on autonomic nervous system,Andra operationer på autonoma nervsystemet
ADW99,Other operation on autonomic nervous system,Annan operation på autonoma nervsystemet
AD_2,Other procedures on autonomic nervous system,Andra åtgärder på autonoma nervsystemet
AE,Miscellaneous operations on the nervous system,Andra åtgärder på nervsystemet
AE_,,Elektrisk stimulation och shock
AEA,Operations on stimulation and injection devices in the nervous system,Operationer på nervstimulerande och injektionsapparater
AEA00,Replacement of impulse generator of stimulation device in the nervous system,Utbyte av impulsgenerator för nervsystem stimulerande apparat
AEA20,Removal of impulse generator of stimulation device in the nervous system,Uttagning av impulsgenererator för nervsystem stimulerade apparat
AEA23,Removal of intracranial electrode,Uttagning av intrakraniel elektrod
AEA24,Removal of spinal stimulation elecrode,Uttagning av spinal stimulerande elektrod
AEA25,Removal of vagal nerv stimulerande elektrod,Uttagning av vagus nerve stimulerande elektrod
AEA27,Replacement of spinal stimulation electrode,Utbyte av spinal stimuleringselektrod
AEA30,Replacement of implanted pump of injection device in the nervous system,Utbyte av implanterad pump av injektionsapparat i nervsystemet
AEA40,Removal of implanted pump of injection device in the nervous system,Uttagning av implanterad pump av injektionsapparat i nervsystemet
AEA43,Removal of catheter of intracranial injection device,Uttagning av intrakraniel kateter av injektionsapparat i nervsystemet
AEA44,Removal of catheter of spinal injection device,Uttagning av kateter av spinal injektionsapparat
AEA50,,Justering av neurostimulator implanterad i vävnad
AE1D3,,Histologisk undersökning av hypofysen
AE3CP,Brain activity PET examination,Hjärnaktivitet PET undersökning
AE3CR,,"Aktivering av hjärnan, PET-DT"
AR1BS,,"Hjärnans receptorer eller transportproteiner, omfattande PET-MRI"
AR1FS,,"Hjärnans receptorer och transportproteiner, PET-MRI"
AR1QS,,"Hjärnans receptorer eller transportproteiner, mycket omfattande PET-MRI"
AR1XS,,"Hjärnans receptorer eller transportproteiner, annan PET-MRI"
AW,Reoperations for postoperative complications in neurosurgery,Reoperationer för sårkomplikationer av neurokirurgi
AWB00,Reoperation for superficial infection in surgery of the nervous system,Revision av dehiscens eller infektion i operationssår (neuro-operation)
AWC00,,Reoperation för djup infektion efter neuro-operation
AWE00,Reoperation for deep heamorrhage in surgery of the nervous system,Reoperation för blödning efter neuro-operation
AWW99,Other reoperation in surgery of the nervous system,Annat ingrepp för sårkomplikation efter neuro-operation
AX,Other neurological procedures,Andra åtgärder på huvud och nervsystemet
AX_,Head and neck radiologal examination for dose design of radiotherapy,Huvud- och halsregionens dosplanering med radiologisk avbildning
AXX,Other minor neurological procedures,Andra mindre åtgärder i nervsystemet
AXX00,,Grundlig neurologisk undersökning
AXX01,,Minnesundersökning
AXX90,Intravascular test of medication against pain,Intravaskulär testning av smärtelindrande läkemedel
AX0,,Utvigd strålbehandling av nervsystemet
AX002,,Ambulatorisk mätning av symtomen på Parkinsons sjukdom i minst 6 dygn
AX099,Radiotherapy of whole central nervous system,Strålbehandling av hela centrala nervsystemet
AX1XD,Other special head CT,DT av huvudet (övrig)
B,Endocrine system,Endokrina organ
BA,Thyroid gland,Sköldkörteln
BA_,Thyroid gland diagnostic radiology,Diagnostisk radiologi av sköldkötreln
BAA,Thyroid gland operations,Operationer på sköldkörteln
BAA00,Biopsy of thyroid gland,Biopsi av sköldkörteln
BAA05,Exploration of thyroid gland,Exploration av sköldkörteln
BAA10,Incision of thyroid gland,Incision av sköldkörteln
BAA20,Unilateral partial excision of thyroid gland,Unilateral subtotal resektion av sköldkörtellob
BAA25,Bilateral partial excision of thyroid gland,Bilateral subtotal resektion av sköldkörteln
BAA30,Excision of thyroid isthmus,Istmusresektion av sköldkörteln
BAA40,Unilateral lobectomy of thyroid gland,Unilateral total lobektomi av sköldkörteln
BAA50,Lobectomy and resection of contralateral lobe of thyroid gland,Total lobektomi + subtotal resektion av kontralaterala loben av sköldkörteln
BAA60,Total thyroidectomy,Total tyreoidektomi
BAA99,Other operation on thyroid gland,Annan operation på sköldkörteln
BA0,Thyroid gland radiotherapy,Strålbehandling av sköldkörteln
BA001,Preoperative radiotherapy of thyroid gland,Preoperativ strålbehandling av primärtumör i sköldkörteln
BA002,Radical radiotherapy of thyroid gland,Radikal strålbehandling av primärtumör i sköldkörteln
